Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment;S/L;T/P
AUDUSD;1298578354;Sell Stop;0.02;22.04.2024 11:46:25;0.64365;23.04.2024 09:46:16;0.64812;-8496.31;-8 500.95;0;[S/L];0.64809;0.64032
AUDUSD;1292955312;Sell Stop;0.01;17.04.2024 13:14:35;0.6426;21.04.2024 20:08:13;0.64349;-851.26;-867.18;0;[S/L];0.64348;0.63683
USDJPY;1291450000;Buy Stop;0.01;16.04.2024 15:17:11;154.695;17.04.2024 13:06:07;154.19;-3199.54;-3 090.82;0;[S/L];154.195;156.139
EURJPY;1290878610;Buy Stop;0.01;16.04.2024 10:44:42;164.446;16.04.2024 13:30:41;164.113;-2112.36;-2 112.36;0;[S/L];164.113;165.223
AUDUSD;1289568882;Sell;0.01;15.04.2024 14:57:14;0.64411;16.04.2024 10:41:26;0.64011;3937.08;3 933.83;0;;0.64599;0.63911
USDJPY;1289011482;Buy;0.01;15.04.2024 10:37:40;154.112;15.04.2024 14:56:30;154.181;438.32;438.32;0;;153.335;155.556
EURUSD;1287057009;Buy Stop;0.01;12.04.2024 13:08:55;1.06466;15.04.2024 10:26:07;1.06242;-2194.12;-2 400.80;0;[S/L];1.06244;1.0691
EURJPY;1286861716;Buy Stop;0.01;12.04.2024 11:46:33;163.018;12.04.2024 12:19:45;162.907;-701.01;-701.01;0;[S/L];162.907;163.418
EURJPY;1286721647;Buy;0.01;12.04.2024 11:05:32;162.586;12.04.2024 11:45:25;163;2605.82;2 605.82;0;;162.316;163.285
AUDUSD;1285388372;Buy Stop;0.01;11.04.2024 14:46:00;0.65443;11.04.2024 23:52:50;0.65265;-1699.05;-1 738.84;0;[S/L];0.65266;0.65887
EURUSD;1283740880;Sell;0.01;10.04.2024 14:36:58;1.07414;11.04.2024 14:41:47;1.07309;1002.82;1 014.38;0;;1.07858;1.05914
USDJPY;1283262946;Buy;0.01;10.04.2024 10:33:03;152.7;10.04.2024 14:35:48;152.935;1464.75;1 464.75;0;;152.5;153.977
EURJPY;1281346708;Buy Stop;0.01;09.04.2024 08:57:57;165.129;10.04.2024 08:30:04;164.585;-3353.29;-3 279.85;0;[S/L];164.489;166.14
AUDUSD;1280327381;Buy;0.01;08.04.2024 11:45:20;0.66014;09.04.2024 08:52:46;0.66338;3036.59;2 996.80;0;;0.65681;0.66514
AUDUSD;1280326013;Buy Limit;0.01;08.04.2024 11:44:27;0.66019;08.04.2024 11:44:32;0.66006;-122.12;-122.12;0;[T/P];;0.66004

